text1,text2,text3,text4,class
antiquity,ac,uk,projgall,11
http,sportsillustrated,cnn,com,14
www,troop,nxs,net,9
bbc,co,uk,hi,7
www,gutenberg,org,etext,13
http,cindybutler,tripod,com,6
http,groups,yahoo,com,10
a,page,amp;subject,php,3
nz,falcon,facts,html,7
http,www,kinky,nl,0
com,sports,college,footbal,14
http,www,slipcovershop,com,12
http,www,pacommunitycolleges,org,10
ie,pub,histmath,people,11
http,www,aboriginality,com,12
http,www,newadvent,org,13
cpsr,org,prevsite,cpsr,6
www,med,wright,edu,5
http,english,myguppy,net,9
http,www,ics,uci,11
http,www,gorunners,com,10
http,balder,prohosting,com,3
org,schools,hall,highlights,8
http,www,i,infotech,2
www,at,sva,com,14
www,uglybrothers,net,recipes,6
au,friends,of,the,10
org,games,cheats,gbc,4
www,cddc,uchicago,edu,10
imaging,mallinckrodt,com,radiopharmacies,5
jp,home,nsf,e,10
bath,ac,uk,ace,10
southernfood,about,com,od,6
http,wow,azzor,com,4
http,www,twincitiessolutions,com,3
gov,sci,techresources,human,10
www,yook,de,tetris,7
com,bgate,index,html,4
com,actresses,a,alley,1
http,www,marioparty,com,4
gov,au,cgi,bin,11
www,perfectentertaining,com,page,6
thefa,com,gen,index,14
www,geocities,com,hungarianrecipes,6
http,www,ex,org,1
http,www,clockprints,com,12
http,www,sec,state,10
http,www,gamespot,com,4
epinions,com,haft,aerobic,6
usps,com,communications,news,11
www,aquatic,uoguelph,ca,11
adventurecollective,com,reviews,gat,4
http,www,angelfire,com,13
http,www,coe,uh,10
org,bottle,index,htm,9
thisisgrimsby,co,uk,default,14
http,pub,bravenet,com,14
pacsoa,org,au,cycads,11
usda,gov,java,profile,11
http,www,tfscapital,com,2
http,www,porn,sex,0
com,homegarden,default,asp,6
gov,uk,animalh,diseases,5
www,angelfire,com,comics,1
http,zygote,swarthmore,edu,6
pc,hardware,faq,chipl,3
http,www,thetoyshelf,com,12
http,www,campaldersgate,net,13
achievement,org,autodoc,page,6
http,www,uk,usa,9
http,home,st,net,13
http,www,all,reviews,4
news,bbc,co,uk,7
edu,epublic,live,ec,11
http,www,liver,ca,5
http,pc,ign,com,4
http,worldnetdaily,com,news,3
www,geocities,com,heartland,9
allmusic,com,cg,amg,1
www,tolweb,org,entoprocta,11
slco,lib,ut,us,10
http,www,nna,news,13
http,www,hfsinchaos,com,4
discovery,com,schrockguide,busin,10
uk,pd,numbers,magicsqua,11
com,ped,topic,htm,6
http,countrymusic,about,com,1
http,www,crawfordins,com,2
com,soups,soups,rec,6
web,ksl,com,tv,6
www,sherryweb,com,steven,1
rxlist,com,cgi,generic,5
mcnabbs,org,andrew,comments,7
www,sleepingcat,com,other,3
www,math,u,bordeaux,11
http,www,series,mx,3
lr,tudelft,nl,live,11
http,www,megryan,net,1
http,www,wy,os,9
http,listserv,acor,org,5
com,red,hot,bear,12
http,www,lib,uchicago,10
http,zhome,com,history,9
www,geocities,com,mcleanjrotc,7
http,www,cubed,com,4
http,www,geocities,com,4
india,com,software,jsp,3
http,www,arm,loom,2
http,www,randomhouse,com,2
http,www,grumpyeditor,com,8
homepage,usask,ca,schmutz,9
rarediseases,org,search,rdbdetail,5
com,tw,science,index,7
www,arts,ualberta,ca,13
cs,ualberta,ca,games,4
http,www,uhs,hints,4
http,www,zencollegelife,com,10
http,www,crystalbeshara,com,1
www,geocities,com,nw,9
archcalc,bibliografia,new,htm,11
www,ebuyingguides,com,where,6
http,www,mtdewxbox,m,4
plant,identification,co,uk,11
http,dab,in,tum,11
acia,com,iask,survey,10
http,www,imagi,nation,1
dmoz,aol,com,cgi,3
http,www,sage,assembly,2
www,recipesource,com,ethnic,6
http,www,tottenhamweb,co,14
http,www,angelfire,com,1
www,wku,edu,dept,10
allmusclecars,com,wagon,htm,9
hungblackstuds,com,front,html,0
gamespot,com,ps,action,7
http,www,blarg,net,12
eonline,com,celebrities,profile,1
www,geocities,com,jmcafee,13
www,m,assonline,com,10
http,www,my,bar,7
rrj,state,va,us,13
asp,net,default,aspx,3
www,fujinon,co,jp,7
http,www,suziewrong,com,0
recipesource,com,soups,soups,6
doe,gov,pages,wmdi,11
gamespot,com,pc,rpg,4
http,www,costumecity,com,12
http,www,watervendingmachines,co,2
http,www,kommer,com,2
plasma,nationalgeographic,com,pearlharb,7
www,adopt,a,greyhound,9
www,thegreatmorel,com,recipes,6
http,groups,yahoo,com,10
org,campusecology,index,cfm,7
http,games,teamxbox,com,7
edu,faculty,carr,imag,11
fda,gov,dms,seniorsb,5
http,pc,ign,com,7
http,www,eurogamer,net,7
http,www,fujinon,co,7
http,www,cdapress,com,8
http,www,pinoymtbiker,org,14
www,arts,cornell,edu,11
http,www,geocities,com,4
www,esm,rochester,edu,1
www,rollingstone,com,artists,1
imdb,com,title,tt,1
bbc,co,uk,sport,14
www,midlandsreflexology,co,uk,5
http,www,wfnals,org,5
http,home,swbell,net,6
health,yahoo,com,topic,5
http,www,gwilliams,org,4
heptune,com,cutfish,html,11
com,shows,originals,the,1
http,www,philographikon,com,6
freewebs,com,pac,death,9
haifa,ac,il,dean,10
www,angelfire,com,sports,14
www,angelfire,com,stars,5
www,carolenevin,co,za,12
http,www,sportsunion,strath,10
www,kyphilom,com,www,7
www,familyculture,com,holidays,7
http,www,sil,org,11
www,downbeat,com,artists,1
http,taree,yourguide,com,8
http,homepage,ntlworld,com,9
www,jeremie,com,dev,3
http,www,theprofileonline,com,8
guitar,marian,recipes,wild,6
mil,music,bugle,default,1
fgz,science,clouds,php,7
www,coe,uh,edu,10
http,www,ellipsis,com,1
www,stoppussy,com,paulina,0
http,www,turtle,ie,11
http,www,concordmuseum,org,10
geocities,com,jarlthran,eclecticdre,1
http,www,mastandmallet,com,2
legs,heels,com,quality,0
gamespot,com,xbox,driving,4
www,busheysymphony,org,uk,1
www,audiodiscs,com,au,12
http,www,english,dictionary,10
http,www,tiffanystainedglass,com,2
http,www,wolfgangluckmann,com,5
www,recipesource,com,soups,6
http,www,anjou,bike,14
com,mi,businesstimes,mi,8
com,iask,survey,html,10
www,worldvillage,com,wv,4
http,www,librarything,com,10
com,article,asp,aid,13
www,illinoistechathletics,com,sport,14
davidson,wallpaper,blogspot,com,3
com,articles,moc,htm,13
www,angelfire,com,wi,9
http,www,dcyh,org,14
porn,pics,com,h,0
geocities,com,sunsetstrip,palms,1
www,contactmusic,com,new,1
com,psx,codes,wine,4
http,www,suitablewords,com,13
http,victor,sanchez,be,0
http,weblog,cemper,com,3
iac,es,pr,lapalma,11
al,bab,com,arab,13
http,weather,yahoo,com,8
http,www,massagelisten,dk,0
cstv,com,sports,m,14
edu,people,mary,mary,11
http,www,kgh,on,10
www,valley,popcorn,com,2
free,ebony,porn,pics,0
http,www,dailypennsylvanian,com,8
http,www,members,tripod,14
http,www,pro,com,4
com,free,xxx,porno,0
http,www,coolfoodplanet,org,7
http,www,possiblypregnant,org,5
ps,gamezone,com,gamesell,4
p,ezboard,com,bpolycysters,5
http,www,gamespot,com,4
http,www,isqed,org,3
http,www,pref,hokkaido,7
com,gamespot,features,pc,4
www,motheratwork,co,uk,6
cookingcache,com,soupsand,creamylen,6
mov,revtemp,asp,cid,1
stratosgroup,com,reviews,games,4
recipesource,com,soups,soups,6
animaldiversity,ummz,umich,edu,11
http,www,angelfire,com,4
http,imprint,uwaterloo,ca,8
uoguelph,ca,birds,speciesac,11
http,www,nintendoworldreport,com,4
http,www,sodz,org,9
www,news,journal,com,8
geocities,com,southbeach,lagoon,1
com,ons,la,n,6
sao,cornell,edu,so,10
btinternet,com,theanthonys,my,6
php,scripts,and,pr,3
http,members,fortunecity,com,13
giovanni,cc,black,glamour,0
groups,yahoo,com,group,9
www,randalstownrfc,co,uk,14
texasbob,com,kitchen,html,6
geocities,com,area,dunes,4
brookes,ac,uk,postgraduate,10
http,www,sharobis,com,9
missouri,edu,carolward,index,11
http,users,skynet,be,7
net,isk,arvol,buffpipe,1
free,sex,free,sex,0
umich,edu,site,acc,11
members,tripod,com,iotaphitheta,10
maine,edu,eng,neasecs,10
http,www,lastres,com,2
www,metaldetector,org,uk,12
canines,com,library,news,9
tripod,com,lisawebworld,index,13
www,supermotousa,net,home,14
datamonitor,com,financial,news,8
http,www,thailandhandicrafts,com,12
http,www,rpgbattle,com,4
http,www,cenacolovinciano,it,10
www,mybdsm,com,pages,0
com,teamoutpost,main,html,14
com,console,dreamcast,game,4
http,www,colsc,net,14
geocities,com,katana,pheonix,9
http,crri,rutgers,edu,11
net,divs,behavior,toilet,9
com,bands,gregaustin,htm,1
www,sewing,roman,shades,12
http,www,truranbooks,co,12
www,brownes,co,uk,12
http,chlopak,gejowo,pl,0
http,www,radicispandex,com,2
science,hq,nasa,gov,7
xbox,gamespy,com,xbox,4
http,www,amateur,sex,0
a,matures,a,htm,0
http,www,astoriaflorist,com,12
http,www,kennethkeith,com,9
www,freepornthumbnails,com,index,0
kamloops,bc,ca,firerescue,5
http,www,autoalliance,org,2
www,gamespot,com,pc,4
