text1,text2,text3,text4,class
vassar,edu,fencing,m,14
captainfletch,com,sailing,wheaton,9
org,lob,lup,lucia,13
http,members,optusnet,com,4
saints,sqpn,com,saintj,13
http,homepage,ntlworld,com,9
glencove,com,win,faq,3
www,hartford,edu,enhp,10
http,www,opossum,org,7
www,nasty,free,sex,0
http,alpha,cow,com,0
http,users,skynet,be,1
www,wbs,ac,uk,10
com,pc,driving,needforspeed,4
http,free,amateur,photo,0
http,www,geocities,com,4
about,the,university,museu,10
com,hub,ring,fidonet,3
com,gtrav,nicaragua,html,6
http,www,carolhurst,com,10
http,www,umbcretrievers,com,10
http,www,nla,gov,1
http,www,mtmckinleybank,com,2
www,petitiononline,com,nhnet,1
http,www,angelfire,com,1
edu,jrcole,gibran,g,1
unitedsexsites,com,aaa,index,0
epicenter,org,edot,newsbot,13
orgsites,com,fl,thunderblades,14
de,members,gentle,man,0
gallery,of,the,worl,6
http,www,jntrading,com,12
http,www,sgvmc,org,5
newadvent,org,cathen,a,13
www,freewebs,com,emilywaaron,13
http,www,bankrate,com,6
d,demon,co,uk,3
http,www,gutenberg,org,1
http,www,keicher,de,2
http,www,pfsense,com,3
stocks,rwe,onvista,de,10
www,allfetishsexpictures,com,schoolgirl,0
http,www,vivacincodemayo,org,13
elook,org,games,cheats,4
groups,csail,mit,edu,11
http,www,candeau,edu,10
http,vm,cfsan,fda,7
http,www,concordiacardinals,com,10
http,purduesports,cstv,com,14
www,mon,cherie,dk,0
http,www,fortworthflyfishers,org,9
www,hanssen,elsloo,nl,7
http,www,dhaniwoollenmills,com,2
http,ltsn,mathstore,ac,11
www,stjoseph,org,uk,5
http,www,amzn,to,12
http,www,connectotel,com,1
www,be,zoo,com,7
boa,constrictors,com,com,9
com,domina,foxy,html,0
see,churches,exe,ch,13
www,kidlink,org,norsk,7
http,www,bandersnatch,com,8
http,www,nationalgeographic,com,7
http,home,ica,net,3
firehouse,com,dept,dawsonsp,5
http,physicsweb,org,article,11
http,www,glasgowdailytimes,com,8
http,www,oracle,com,3
cgi,bin,weedident,cgi,11
groups,yahoo,com,group,5
www,newadvent,org,cathen,13
pages,prodigy,net,cousinsteve,7
www,brentbutler,com,jokes,9
gamespy,com,pc,the,4
www,bargirlz,com,jill,0
http,www,thegutsygourmet,net,6
sabo,org,mexico,htm,9
art,search,art,main,1
tvguide,com,movies,hackers,1
home,comcast,net,colorado,14
pbs,org,edens,costarica,7
http,www,environment,gov,7
http,www,teamcharliesangels,com,5
www,maimonides,foundation,org,13
home,comcast,net,supportcd,3
http,tools,ietf,org,3
edkirkpatrick,com,pinhole,htm,1
cs,cmu,edu,dinnercoop,6
http,highfieldscouts,blogspot,com,9
http,www,allaboutsquarefootgardening,com,6
http,www,draw,d,7
com,articles,feat,html,5
http,www,simdesign,nl,3
http,www,newadvent,org,13
uk,wildlife,birdguide,name,7
www,rnh,com,show,1
http,philadelphiacriminaldefense,blogspot,com,13
http,www,globalissues,org,8
http,roadtrip,tripod,com,9
http,www,gamespot,com,4
www,gamespot,com,ps,4
www,wdma,com,i,10
wcoomd,org,ie,en,13
www,busheysymphony,org,uk,1
http,owen,massey,net,10
home,fac,plarchr,kawa,1
www,newadvent,org,cathen,13
earthlink,net,ggda,biology,7
www,cakeandcunnilingus,com,lickmycunt,0
http,www,rumbaclubhavanese,com,9
www,sexshop,com,mx,0
www,allstate,com,catastrophe,5
http,recipesource,com,ethnic,6
amwhite,blackouts,index,html,5
http,www,dartengineering,com,2
org,health,chip,shtml,13
http,www,recipezaar,com,6
http,www,registerguard,com,8
www,gnu,org,software,3
http,www,hundredmountain,com,13
p,nea,ci,ly,7
aces,edu,pubs,docs,6
netnitco,net,users,wt,7
www,duckware,com,pmvr,3
www,otherlleft,com,raward,13
http,www,postwritersgroup,com,8
org,misc,passbagger,in,14
com,xmlfeed,rss,rss,8
http,www,realmofgaming,com,4
www,krizleebear,de,phpaccess,3
http,www,globalresins,co,2
http,www,ccaa,ca,14
www,newadvent,org,cathen,13
http,www,txkrace,org,5
com,developerworks,xml,library,3
www,personal,umich,edu,1
www,geocities,com,heartland,9
www,wellingtonnanniescollege,co,nz,10
http,www,georgedillon,com,3
anth,ucsb,edu,projects,7
http,www,freewebs,com,4
cg,amg,dll,p,1
gamespy,com,pc,heroes,7
www,arcade,history,com,4
timster,net,index,html,3
http,saskhighways,homestead,com,9
http,www,lotsofjokes,com,9
http,www,canada,com,9
www,todays,values,com,12
http,members,tripod,com,12
uk,hi,magazine,stm,7
danoday,com,summit,shtml,1
pnl,gov,quantum,index,11
http,www,rgcoates,com,13
redsea,online,com,modules,10
http,www,geocities,com,7
http,www,wien,ica,10
www,geocities,com,athens,11
families,first,com,hotflash,6
http,www,arlwa,com,11
http,www,travelphoto,co,12
gov,p,af,ci,7
www,dalton,house,com,9
http,www,middlevilleayso,org,14
http,www,boetewinery,com,9
utexas,edu,phy,demo,11
gov,investor,pubs,inwsmf,6
http,www,nicheerotica,com,0
cornell,edu,topics,products,13
math,ucdavis,edu,kouba,11
virginia,edu,etcbin,ot,7
http,www,cdta,com,2
http,www,voyeursexpixxx,com,0
http,www,elmundo,es,7
http,www,achievement,org,6
friendpages,com,p,page,12
porn,free,porn,pics,0
http,headcoverings,by,devorah,13
http,www,minnetonkarugby,com,14
http,www,d,umn,10
http,www,brainshrub,com,8
www,gamerswithjobs,com,node,4
hk,geocities,com,akrishi,13
http,www,apapractice,org,11
http,www,geocities,com,11
katzjustice,com,jktaichi,htm,14
com,news,q,c,4
com,side,dishes,sauces,6
com,ps,action,sengokumusou,7
http,www,wholarts,com,13
www,planetfortress,com,theclinic,4
http,www,heggys,com,12
https,www,ktfcu,org,2
www,rtis,com,nat,11
http,www,olemiss,edu,1
www,ortakales,com,illustrators,1
http,www,ritacharbonnier,com,1
geocities,com,area,shadowlands,1
http,www,scripps,edu,11
www,clubleporn,com,sites,0
www,geocities,com,collegepark,13
http,bizarnage,megs,com,4
net,colorado,nasa,wsb,14
http,strangecandy,keenspace,com,1
http,www,dosgames,cc,4
http,www,ruoutside,com,12
tranquileye,com,free,index,8
http,ceinfo,unh,edu,13
http,www,alwaysporcelain,com,12
http,www,watsonlegal,com,13
yahoo,com,group,diverselovefic,0
http,www,soonerstats,com,10
myhero,com,myhero,hero,7
http,www,rarediseases,org,5
http,www,lesbian,pussy,0
http,www,creativemode,com,12
web,me,uk,whois,6
infonet,com,br,gustavoaragao,7
http,www,cdcg,org,6
http,takenbytimi,tripod,com,1
kidshealth,org,kid,health,7
cstv,com,sports,w,14
www,plan,japan,org,7
http,www,theinquirer,net,3
www,bsa,mdsc,org,9
www,bbc,co,uk,7
http,www,freeos,com,3
http,www,casinogaming,com,4
http,java,sun,com,3
http,www,williegreens,org,11
www,gamespot,com,pc,4
http,www,matthewskenpo,com,14
http,www,gbgm,umc,13
crusades,medieval,blogspot,com,13
http,www,actionmoving,com,6
http,www,freewebs,com,9
