text1,text2,text3,text4,class
learn,solve,rubik,cube,0
solve,rubik,cube,learn,0
rubik,cube,learn,quick,0
marvel,studios,ant,man,1.0
studios,ant,man,wasp,1.0
ant,man,wasp,official,1.0
man,wasp,official,trailer,1.0
apple,launch,event,presentation,2.0
launch,event,presentation,iphone,2.0
best,computer,phone,hacks,3.0
computer,phone,hacks,dummies,3.0
fifa,switch,gameplay,real,4.0
switch,gameplay,real,madrid,4.0
gameplay,real,madrid,vs,4.0
real,madrid,vs,manchester,4.0
nursery,rhymes,kids,songs,7.0
rhymes,kids,songs,nursery,7.0
kids,songs,nursery,rhymes,7.0
songs,nursery,rhymes,songs,7.0
media,one,malyalam,news,8.0
one,malyalam,news,live,8.0
malyalam,news,live,stream,8.0
cool,gadgets,can,buy,12.0
gadgets,can,buy,on,12.0
can,buy,on,amazon,12.0
buy,on,amazon,hindi,12.0
india,vs,south,africa,14.0
vs,south,africa,live,14.0
south,africa,live,star,14.0
africa,live,star,sports,14.0
live,star,sports,live,14.0
learn,solve,rubik,cube,1.0
solve,rubik,cube,learn,1.0
rubik,cube,learn,quick,1.0
growing,up,needs,dettol,5.0
gmail,storage,email,google,3.0
free,game,gameonline,in,4.0
jokes,sms,jokes,humor,4.0
sms,jokes,humor,fun,4.0
jokes,humor,fun,funtoosh,4.0
game,girls,boys,play,4.0
girls,boys,play,game,4.0
boys,play,game,win,4.0
play,game,fun,flash,4.0
game,fun,flash,game,4.0
govt,model,engineering,college,10.0
django,tutorial,migration,learn,3.0
tutorial,migration,learn,django,3.0
tripura,bjp,team,has,8.0
bjp,team,has,youngest,8.0
team,has,youngest,faces,8.0
has,youngest,faces,coun,8.0
youngest,faces,coun,pm,8.0
faces,coun,pm,mo,8.0
shopping,women,men,kids,12.0
women,men,kids,fashion,12.0
men,kids,fashion,lifestyle,12.0
kids,fashion,lifestyle,myntra,12.0
html,body,background,attribute,10.0
shein,women,fashion,affordable,12.0
women,fashion,affordable,prices,12.0
quora,knowledge,better,world,10.0
geeksforgeeks,computer,science,portal,10.0
computer,science,portal,geeks,10.0
